orgao_julgador,turma,numero,classe_sigla,classe,relator,tribunal,data_julgamento,data_juntada,id_documento,possui_ementa,ementa,referencia_legislativa,url,classe_curta,area,materias,subtema,subtemas,incidentes,precisa_llm
Primeira Turma,1ª Turma,0001423-47.2025.5.19.0007,ROT,Recurso Ordinário Trabalhista,JOAO LEITE DE ARRUDA ALENCAR,TRT19,03/06/2026,08/06/2026,9169360,N,"Ementa . DIREITO PROCESSUAL DO TRABALHO. EMBARGOS DE DECLARAÇÃO. OMISSÃO. INEXISTÊNCIA. EMBARGOS REJEITADOS. I. CASO EM EXAME 1. Trata-se de embargos de declaração opostos pelo reclamante contra acórdão proferido por esta Turma. O embargante alega, em síntese, que o julgado incorreu em omissão ao desconsiderar o pedido de apuração por perícia contábil e atuarial para o arbitramento do quantum indenizatório, formulado desde a petição inicial, sustentando que a decisão recursal imputou-lhe indevidamente a tentativa de ampliar o objeto da condenação em sede de recurso. Requer, para fins de prequestionamento, a manifestação expressa sobre os arts. 840, §1º, da CLT; 12, §2º, da IN nº 41/2018 do TST; 324, §1º, II e III, do CPC; e 879, caput, da CLT, e postula efeito infringente. II. QUESTÃO EM DISCUSSÃO 2. A questão em discussão consiste em saber se o acórdão embargado incorreu em omissão ao manter o arbitramento do quantum indenizatório sem remeter a apuração a perícia contábil e atuarial, apesar de tal providência ter sido requerida na petição inicial. III.",prgf_1_art_840_clt|sumula_297_tst|art_818_clt|art_832_cf|prgf_1_art_324_cpc|art_832_cpc|prgf_2_art_840_clt|art_897_clt|trt19|caput_art_879_cpc|art_944_ccb|caput_art_879_clt|trt9|prgf_2_art_12_clt,https://jurisprudencia.jt.jus.br/jurisprudencia-nacional/pesquisa/numero/0001423-47.2025.5.19.0007?abaSelecionada=acordaos,Recurso Ordinário,Execução trabalhista,Execução trabalhista,,,Embargos de declaração / omissão,
Primeira Turma,1ª Turma,0001155-27.2024.5.19.0007,AP,Agravo de Petição,JOAO LEITE DE ARRUDA ALENCAR,TRT19,03/06/2026,08/06/2026,9169372,N,"Ementa . DIREITO PROCESSUAL DO TRABALHO. EMBARGOS DE DECLARAÇÃO. OBSCURIDADE E OMISSÃO. REJEIÇÃO. EMBARGOS REJEITADOS. I. CASO EM EXAME 1. Trata-se de embargos de declaração opostos pela Caixa Econômica Federal (CEF) contra acórdão que julgou o agravo de petição. A embargante alega, em síntese, a existência de omissão e obscuridade no acórdão quanto à necessidade de prequestionamento fático dos limites da coisa julgada formada na ACC nº 0001045-53.2018.5.19.0002, com transcrição de pedidos e decisões, a fim de viabilizar recurso de revista ao TST. Aduz, ainda, obscuridade no",art_1_clt|prgf_2_art_202_cf|prgf_3_art_202_cf|art_5_clt|prgf_2_art_897_clt|art_1_cpc|prgf_3_art_202_clt|prgf_1_art_879_clt|art_897_clt|trt19|prgf_2_art_897_cpc|prgf_2_art_202_clt|sumula_297_tst|trt9|art_202_cf,https://jurisprudencia.jt.jus.br/jurisprudencia-nacional/pesquisa/numero/0001155-27.2024.5.19.0007?abaSelecionada=acordaos,Agravo de Petição,Execução trabalhista,Execução trabalhista,,,Embargos de declaração / omissão,
Primeira Turma,1ª Turma,0001135-02.2025.5.19.0007,RORSum,Recurso Ordinário - Rito Sumaríssimo,JOAO LEITE DE ARRUDA ALENCAR,TRT19,03/06/2026,08/06/2026,9226487,N,"Ementa. DIREITO PROCESSUAL DO TRABALHO. SEGUNDOS EMBARGOS DE DECLARAÇÃO. CAIXA ECONÔMICA FEDERAL. BANCÁRIA. PREMIAÇÃO VENDAS. NATUREZA SALARIAL. IAC 0000452-49.2026.5.19.0000. AUSÊNCIA DE EFEITO SUSPENSIVO. INOVAÇÃO RECURSAL INADMISSÍVEL. REINCIDÊNCIA EM EMBARGOS PROTELATÓRIOS. MULTA. ART. 1.026, §3º, DO CPC. EMBARGOS REJEITADOS. I. CASO EM EXAME 1. Segundos embargos de declaração opostos pela Caixa Econômica Federal contra acórdão que rejeitou os primeiros declaratórios patronais, com aplicação de multa por caráter protelatório. A embargante postula manifestação expressa da Turma sobre a instauração do IAC 0000452-49.2026.5.19.0000 e a imediata suspensão do feito para aguardar o julgamento do incidente. II. QUESTÃO EM DISCUSSÃO 2. As questões em discussão são: (i) se o acórdão embargado incorreu em omissão ao não se manifestar sobre o IAC instaurado no âmbito deste Regional e ao não determinar a suspensão do feito; (ii) se é cabível a aplicação da multa majorada do art. 1.026, §3º, do CPC em razão da reiteração de embargos protelatórios. III.",prgf_3_art_947_cpc|ri_trt9|art_1_clt|art_1_cpc|trt9|art_769_clt|i_art_947_cpc|i_art_982_cpc|art_897_clt|trt19|sumula_297_tst|art_947_cpc,https://jurisprudencia.jt.jus.br/jurisprudencia-nacional/pesquisa/numero/0001135-02.2025.5.19.0007?abaSelecionada=acordaos,RO Sumaríssimo,Salário e diferenças salariais,Salário e diferenças salariais,,,Embargos de declaração / omissão,
Primeira Turma,1ª Turma,0001033-83.2025.5.19.0005,ROT,Recurso Ordinário Trabalhista,JOAO LEITE DE ARRUDA ALENCAR,TRT19,03/06/2026,08/06/2026,9094218,N,"Ementa . DIREITO PROCESSUAL DO TRABALHO. EMBARGOS DE DECLARAÇÃO. OMISSÃO. CONTRADIÇÃO. PARCIAL PROVIMENTO. I. CASO EM EXAME 1. Trata-se de embargos de declaração opostos pela CAIXA ECONÔMICA FEDERAL contra acórdão que julgou o recurso ordinário. A embargante alega omissão e contradição em relação ao regulamento da premiação de seguridade 2021 e aos artigos 457, §§ 2º e 4º, da CLT, omissão quanto aos temas 23 do TST e 528 do STF (aplicação imediata da Lei nº 13.467/2017), omissão quanto aos reflexos na FUNCEF e omissão quanto aos parâmetros da condenação (correção monetária, juros, divisor e contribuições previdenciárias e fiscais). II. QUESTÃO EM DISCUSSÃO 2. As questões em discussão são: (i) se o acórdão incorreu em contradição e omissão ao analisar o Regulamento da Premiação de Seguridade 2021 e os artigos 457, §§ 2º e 4º, da CLT; (ii) se o acórdão foi omisso quanto à aplicação imediata da Lei nº 13.467/2017, conforme Tema 23 do TST e Tema 528 do STF; (iii) se o acórdão foi omisso quanto aos reflexos na FUNCEF; e (iv) se o acórdão foi omisso quanto aos parâmetros de correção monetária, juros moratórios, divisor e contribuições previdenciárias e fiscais. III.",prgf_2_art_457_clt|sumula_368_tst|art_457_clt|art_114_cf|trt9|art_5_clt|art_769_clt|trt19|prgf_4_art_457_clt|art_6_cf|art_468_clt|prgf_1_art_457_clt|prgf_1_art_897_cf|prgf_unico_art_389_ccb|prgf_1_art_897_clt|art_114_ccb|prgf_unico_art_406_ccb|art_897_clt|sumula_113_tst,https://jurisprudencia.jt.jus.br/jurisprudencia-nacional/pesquisa/numero/0001033-83.2025.5.19.0005?abaSelecionada=acordaos,Recurso Ordinário,Contribuições previdenciárias e fiscais,Contribuições previdenciárias e fiscais,,,Embargos de declaração / omissão,
Primeira Turma,1ª Turma,0000300-32.2025.5.19.0001,AP,Agravo de Petição,JOAO LEITE DE ARRUDA ALENCAR,TRT19,03/06/2026,08/06/2026,9210408,N,"Ementa. DIREITO PROCESSUAL DO TRABALHO. EMBARGOS DE DECLARAÇÃO. ALEGAÇÃO DE OMISSÃO. REDISCUSSÃO DE MÉRITO. PREQUESTIONAMENTO. EMBARGOS REJEITADOS. I. CASO EM EXAME 1. Trata-se de embargos de declaração opostos pelo Estado de Alagoas contra acórdão que julgou o agravo de petição. O embargante alega omissão do acórdão quanto à aplicabilidade do art. 513, §5º, do CPC; ao Tema 1.232 do STF; ao devido processo legal, à autonomia patrimonial da CARHP e ao art. 86 da Consolidação dos Provimentos da Corregedoria-Geral da Justiça do Trabalho (CGJT). II. QUESTÃO EM DISCUSSÃO 2. As questões em discussão são: (i) se houve omissão no acórdão quanto à aplicabilidade do art. 513, §5º, do CPC, em face da sucessão patrimonial legalmente prevista para o Estado de Alagoas; (ii) se o acórdão foi omisso ao não aplicar o Tema 1.232 do STF à situação dos autos, que trata de responsabilidade material de origem legal e não de desconsideração da personalidade jurídica; (iii) se o acórdão deixou de analisar a questão do devido processo legal, da autonomia patrimonial da CARHP e do art. 86 da CGJT; e (iv) se o prequestionamento realizado no acórdão é suficiente. III.",art_136_cpc|art_1_clt|art_897_cpc|art_137_cpc|art_133_cpc|art_134_cpc|prgf_5_art_513_cpc|art_855_cpc|art_897_clt|trt19|prgf_6_art_37_cf|i_art_22_cf|sumula_297_tst|art_135_cpc|art_855_clt,https://jurisprudencia.jt.jus.br/jurisprudencia-nacional/pesquisa/numero/0000300-32.2025.5.19.0001?abaSelecionada=acordaos,Agravo de Petição,Execução trabalhista,Execução trabalhista,,,Incidente de desconsideração da PJ|Embargos de declaração / omissão,
Primeira Turma,1ª Turma,0000293-28.2025.5.19.0005,ROT,Recurso Ordinário Trabalhista,JOAO LEITE DE ARRUDA ALENCAR,TRT19,03/06/2026,08/06/2026,9249338,N,". Ementa. DIREITO DO TRABALHO. EMBARGOS DE DECLARAÇÃO. COMPETÊNCIA DA JUSTIÇA DO TRABALHO. INDIVIDUALIZAÇÃO DE DEPÓSITOS DE FGTS. TRABALHADORES CELETISTAS. OMISSÃO SUPRIDA. DEMAIS ALEGAÇÕES. REEXAME DE MÉRITO. DESCABIMENTO. EMBARGOS PARCIALMENTE ACOLHIDOS, SEM EFEITO MODIFICATIVO. I. CASO EM EXAME 1. Embargos de Declaração opostos pelo Estado de Alagoas em face do acórdão que, por unanimidade, negou provimento ao seu Recurso Ordinário, mantendo a condenação à individualização dos depósitos de FGTS de ex-empregados da extinta Fundação Teatro Deodoro (FUNTED), com multa diária de R$ 5.000,00. II. QUESTÃO EM DISCUSSÃO 2. Cogita-se de: (i) omissão sobre a incompetência absoluta da Justiça do Trabalho e a necessidade de inclusão da CEF no polo passivo; (ii) omissão e contradição quanto à prescrição bienal; (iii) omissão sobre a proporcionalidade das astreintes. III.",_art_64_cpc|prgf_unico_art_64_cpc|prgf_1_art_64_cpc|sumula_82_stj|art_897_clt|trt19|i_art_114_cf,https://jurisprudencia.jt.jus.br/jurisprudencia-nacional/pesquisa/numero/0000293-28.2025.5.19.0005?abaSelecionada=acordaos,Recurso Ordinário,FGTS,FGTS,,,Prescrição (bienal/quinquenal/intercorrente)|Competência|Embargos de declaração / omissão,
Primeira Turma,1ª Turma,0000241-23.2025.5.19.0008,ROT,Recurso Ordinário Trabalhista,JOAO LEITE DE ARRUDA ALENCAR,TRT19,03/06/2026,08/06/2026,9223925,N,"Ementa . DIREITO PROCESSUAL DO TRABALHO. EMBARGOS DE DECLARAÇÃO. MANIFESTO EQUÍVOCO NO EXAME DOS PRESSUPOSTOS EXTRÍNSECOS DO RECURSO. DESERÇÃO. APÓLICE DE SEGURO GARANTIA. IDENTIFICAÇÃO SUFICIENTE DO PROCESSO. EMBARGOS ACOLHIDOS. RECURSO ORDINÁRIO. SOBREAVISO. CELULAR CORPORATIVO. OBRIGAÇÃO DE NÃO DESLIGAR O APARELHO. ÚNICA REFERÊNCIA TÉCNICA EM SETOR DE OPERAÇÃO ININTERRUPTA. CONFIGURAÇÃO. INSALUBRIDADE. MANIPULAÇÃO DE ÓLEOS MINERAIS. ANEXO 13 DA NR-15. GRAU MÁXIMO. FORNECIMENTO DE EPI INSUFICIENTE PARA ELIDIR O ADICIONAL. RECURSO ORDINÁRIO DESPROVIDO. I. CASO EM EXAME 1. Trata-se de embargos de declaração opostos por PBG S/A contra acórdão que declarou a deserção do recurso ordinário interposto pela reclamada em razão de irregularidade na apólice de seguro garantia judicial juntada aos autos. A embargante sustenta manifesto equívoco no exame dos pressupostos extrínsecos, alegando que o documento de id. 2a0b4b9 contém os elementos suficientes para a vinculação da garantia ao presente processo. II. QUESTÃO EM DISCUSSÃO 2. Há duas questões em discussão: (i) saber se o acórdão incorreu em manifesto equívoco ao declarar a deserção do recurso ordinário, desconsiderando o documento de id. 2a0b4b9 que continha identificação suficiente da apólice em relação ao processo; e (ii) uma vez superado o óbice de admissibilidade, saber se a sentença merece reforma nos pontos relativos ao sobreaviso e ao adicional de insalubridade. III.",art_1_cpc|sumula_297_tst|art_479_cpc|prgf_2_art_244_cpc|prgf_2_art_192_cpc|trt2|art_769_clt|sumula_139_tst|prgf_2_art_244_clt|art_191_clt|trt19|sumula_428_tst|art_192_clt|prgf_2_art_192_clt|ii_sumula_428_tst|i_sumula_428_tst|trt3|prgf_2_art_191_cpc|prgf_2_art_191_clt|sumula_289_tst|prgf_1_art_224_ri_trt9|art_897_clt,https://jurisprudencia.jt.jus.br/jurisprudencia-nacional/pesquisa/numero/0000241-23.2025.5.19.0008?abaSelecionada=acordaos,Recurso Ordinário,Adicionais (insalubridade / periculosidade / noturno),Adicionais (insalubridade / periculosidade / noturno)|Horas extras / jornada,Insalubridade,Adicionais (insalubridade / periculosidade / noturno)::Insalubridade|Horas extras / jornada::Sobreaviso / prontidão,Deserção / preparo / depósito recursal|Embargos de declaração / omissão,
Primeira Turma,1ª Turma,0000799-07.2025.5.19.0004,ROT,Recurso Ordinário Trabalhista,JOAO LEITE DE ARRUDA ALENCAR,TRT19,03/06/2026,08/06/2026,8985967,N,"Ementa . DIREITO DO TRABALHO. DIREITO PROCESSUAL DO TRABALHO. RECURSO ORDINÁRIO. RECUPERAÇÃO JUDICIAL. MULTAS COERCITIVAS. ADICIONAL DE PERICULOSIDADE. MULTA DO ART. 477 DA CLT. HONORÁRIOS PERICIAIS. HONORÁRIOS SUCUMBENCIAIS. RECURSO PROVIDO EM PARTE. I. CASO EM EXAME 1. Trata-se de recurso ordinário interposto pela reclamada em face da sentença que julgou parcialmente procedente a reclamação trabalhista. A recorrente alega, em síntese, a incompetência da Justiça do Trabalho para a prática de atos executórios em empresa em recuperação judicial, a imprestabilidade do laudo pericial para fins de adicional de periculosidade, a incorreção na incidência da multa do art. 477 da CLT e a necessidade de redução dos honorários periciais e sucumbenciais. II. QUESTÕES EM DISCUSSÃO 2. As questões em discussão são: (i) a competência da Justiça do Trabalho para a prática de atos executórios e a fixação de multas coercitivas em face de empresa em recuperação judicial; (ii) a validade da prova pericial e a aplicação da Súmula 364, I, do TST quanto ao adicional de periculosidade; (iii) a base de cálculo da multa do art. 477 da CLT; (iv) o valor dos honorários periciais; e (v) a condenação em honorários advocatícios sucumbenciais. III.",b_art_790_clt|art_21_resolucao_csjt_247_19|prgf_3_art_6_cf|resolucao_csjt_256_20|prgf_10_art_899_clt|sumula_297_tst|prgf_47_art_6_cf|art_477_clt|prgf_1_art_6_cf|trt19|caput_art_791_clt|prgf_2_art_6_cf|art_373_cpc|xxxv_art_5_clt|art_22_resolucao_csjt_247_19|caput_art_8_clt|prgf_8_art_477_clt|caput_art_775_clt|prgf_4_art_791_clt|prgf_1_art_523_cpc|resolucao_csjt_247_19|art_8_cpc|caput_art_790_clt|prgf_1_art_818_clt|art_8_ccb|art_791_clt|art_114_ccb|art_373_ccb|prgf_6_art_477_clt|i_art_114_cf,https://jurisprudencia.jt.jus.br/jurisprudencia-nacional/pesquisa/numero/0000799-07.2025.5.19.0004?abaSelecionada=acordaos,Recurso Ordinário,Adicionais (insalubridade / periculosidade / noturno),Adicionais (insalubridade / periculosidade / noturno)|Verbas rescisórias,Periculosidade,Adicionais (insalubridade / periculosidade / noturno)::Periculosidade|Verbas rescisórias::Outros,Honorários sucumbenciais|Honorários periciais|Deserção / preparo / depósito recursal|Competência,
Primeira Turma,1ª Turma,0000568-62.2025.5.19.0009,ROT,Recurso Ordinário Trabalhista,JOAO LEITE DE ARRUDA ALENCAR,TRT19,03/06/2026,08/06/2026,8918953,N,"Ementa DIREITO DO TRABALHO. DOENÇA OCUPACIONAL. NEXO CONCAUSAL. INSUFICIÊNCIA PROBATÓRIA. PROVA ORAL INDIRETA. PRONTUÁRIO MÉDICO. RESCISÃO INDIRETA. AFASTAMENTO. PEDIDO DE DEMISSÃO. DANOS MORAIS E MATERIAIS. IMPROCEDÊNCIA. HONORÁRIOS PERICIAIS. BENEFICIÁRIO DA JUSTIÇA GRATUITA. RESPONSABILIDADE DA UNIÃO. RECURSOS ORDINÁRIOS. PROVIMENTO PARCIAL. I. CASO EM EXAME 1. Trata-se de recursos ordinários interpostos por SEGURPRO TECNOLOGIA EM SISTEMAS DE SEGURANÇA ELETRÔNICA E INCÊNDIOS LTDA. (primeira reclamada e empregadora) e por SOCOCO S.A. INDÚSTRIAS ALIMENTÍCIAS (segunda reclamada e tomadora de serviços, condenada subsidiariamente) contra sentença que julgou parcialmente procedentes os pedidos formulados pela reclamante em ação indenizatória por doença ocupacional. As recorrentes buscam a reforma da decisão para afastar, preliminarmente, as nulidades por negativa de prestação jurisdicional, cerceamento de defesa e inépcia da inicial, bem como a prescrição quinquenal. No mérito, impugnam o reconhecimento do nexo concausal entre as patologias psíquicas e o labor exercido, a rescisão indireta do contrato de trabalho, a indenização substitutiva da garantia provisória de emprego acidentária, as indenizações por danos materiais (pensionamento) e morais, e a fixação dos honorários periciais e advocatícios. II. QUESTÃO EM DISCUSSÃO 2. As questões em discussão consistem em: (i) a existência de nulidade processual por negativa de prestação jurisdicional, cerceamento do direito de defesa e inépcia da petição inicial; (ii) a ocorrência da prescrição quinquenal; (iii) o reconhecimento do nexo concausal entre as patologias psíquicas diagnosticadas e o labor exercido, à luz do laudo pericial condicional e da prova oral produzida; (iv) a caracterização de falta grave patronal apta a ensejar a rescisão indireta do contrato de trabalho; (v) o cabimento da indenização substitutiva da garantia provisória de emprego acidentária; (vi) o cabimento das indenizações por danos materiais (pensionamento) e morais; e (vii) a responsabilidade pelo pagamento dos honorários periciais e advocatícios diante da concessão da justiça gratuita à reclamante. III.",prgf_1_art_840_clt|b_art_790_clt|b_prgf_4_art_790_clt|_art_322_clt|art_492_cpc|prgf_1_art_322_clt|art_141_cpc|prgf_1_art_157_clt|art_950_ccb|art_293_cpc|cc_art_949_cpc|sumula_297_tst|art_402_clt|art_402_ccb|cc_art_189_cpc|sumula_278_stj|prgf_unico_art_86_clt|prgf_2_art_322_clt|art_292_cpc|art_480_cpc|cc_art_186_cpc|cc_art_402_cpc|trt19|prgf_3_art_791_clt|c_art_157_cf|prgf_unico_art_86_cpc|prgf_2_art_157_clt|art_189_ccb|c_art_483_clt|i_art_818_clt|art_291_cpc|sumula_378_tst|sumula_457_tst|cc_art_884_cpc|art_86_cpc|prgf_4_art_791_clt|c_art_364_cf|art_364_cpc|cc_art_927_cpc|caput_art_790_clt|art_371_cpc|cc_art_950_cpc|_art_157_clt|art_897_clt|c_art_371_cf|c_art_483_cf,https://jurisprudencia.jt.jus.br/jurisprudencia-nacional/pesquisa/numero/0000568-62.2025.5.19.0009?abaSelecionada=acordaos,Recurso Ordinário,Doença ocupacional / acidente de trabalho,Doença ocupacional / acidente de trabalho|Estabilidade / garantia de emprego|Terceirização / responsabilidade subsidiária|Justa causa / modalidade de rescisão|Dano moral / existencial|Execução trabalhista,,Estabilidade / garantia de emprego::Outros,Gratuidade da justiça (pós-reforma)|Honorários periciais|Prescrição (bienal/quinquenal/intercorrente)|Cerceamento de defesa / prova|Nulidade / negativa de prestação jurisdicional|Tutela de urgência / liminar,
Primeira Turma,1ª Turma,0221400-36.2005.5.19.0009,AP,Agravo de Petição,JOAO LEITE DE ARRUDA ALENCAR,TRT19,03/06/2026,08/06/2026,9195693,N,"Ementa. DIREITO DO TRABALHO. AGRAVO DE PETIÇÃO. EXECUÇÃO COLETIVA. DESMEMBRAMENTO EM CUMPRIMENTOS INDIVIDUAIS DE SENTENÇA. ART. 113, § 1º, DO CPC. ART. 100, § 8º, DA CONSTITUIÇÃO FEDERAL. FRACIONAMENTO DE PRECATÓRIO. NÃO CONFIGURAÇÃO. DESPROVIMENTO. I. CASO EM EXAME 1. Agravo de petição interposto pela Companhia Alagoana de Recursos Humanos e Patrimoniais em Liquidação - CARHP contra decisão da 9ª Vara do Trabalho de Maceió que julgou totalmente improcedentes os embargos à execução por ela opostos, mantendo a sentença que determinou a extinção da execução coletiva sem resolução do mérito e o desmembramento do feito em ações individuais de cumprimento de sentença, a serem promovidas pelos vinte e dois credores remanescentes, com distribuição por dependência ao mesmo juízo. II. QUESTÃO EM DISCUSSÃO 2. A questão em discussão consiste em saber se a determinação judicial de desmembramento de execução coletiva - ajuizada por sindicato na condição de substituto processual em face de ente público - em cumprimentos individuais de sentença, com extinção da execução originária, configura o fracionamento, a repartição ou a quebra do valor da execução vedados pelo art. 100, § 8º, da Constituição Federal. III.",sumula_345_stj|art_877_cf|prgf_8_art_100_cf|art_897_cf|art_97_cpc|prgf_1_art_897_clt|prgf_1_art_113_cpc|art_791_clt|art_95_cpc|art_98_cpc|art_897_clt|trt19|lxxviii_art_5_cf|art_765_cf|art_769_cf|sumula_297_tst|trt9,https://jurisprudencia.jt.jus.br/jurisprudencia-nacional/pesquisa/numero/0221400-36.2005.5.19.0009?abaSelecionada=acordaos,Agravo de Petição,Terceirização / responsabilidade subsidiária,Terceirização / responsabilidade subsidiária|Execução trabalhista,,,Execução / penhora,
Primeira Turma,1ª Turma,0184300-70.2002.5.19.0003,AP,Agravo de Petição,JOAO LEITE DE ARRUDA ALENCAR,TRT19,03/06/2026,08/06/2026,9192216,N,"Ementa . DIREITO PROCESSUAL DO TRABALHO. AGRAVO DE PETIÇÃO. EXECUÇÃO TRABALHISTA. PRESCRIÇÃO INTERCORRENTE. PROCESSO AJUIZADO ANTES DA LEI Nº 13.467/2017. ART. 11-A DA CLT. APLICABILIDADE. INÉRCIA DO EXEQUENTE. EXTINÇÃO DA EXECUÇÃO. AGRAVO IMPROVIDO. I. CASO EM EXAME 1. Trata-se de agravo de petição interposto pelo exequente contra sentença proferida pelo Juízo da 3ª Vara do Trabalho de Maceió que declarou, de ofício, a prescrição intercorrente bienal, com resolução do mérito, e extinguiu a execução, com fundamento no art. 11-A da CLT c/c arts. 487, II, e 924, V, do CPC. O agravante sustenta que, por haver sido ajuizada a reclamação trabalhista em 2002, anteriormente à Lei nº 13.467/2017 (Reforma Trabalhista), o instituto da prescrição intercorrente seria inaplicável ao presente feito. II. QUESTÃO EM DISCUSSÃO 2. A questão em discussão consiste em saber se o art. 11-A da CLT, introduzido pela Lei nº 13.467/2017, é aplicável a processo em fase de execução cujo ajuizamento ocorreu antes da entrada em vigor da Reforma Trabalhista, quando as determinações judiciais descumpridas pelo exequente foram proferidas após 11 de novembro de 2017 e o exequente permaneceu inerte por prazo superior a dois anos a contar da última intimação. III.",prgf_2_art_11_cpc|sumula_297_tst|art_11_clt|prgf_2_art_921_cpc|caput_art_11_clt|prgf_1_art_11_cpc|prgf_1_art_897_clt|art_6_cpc|caput_art_11_cpc|prgf_1_art_11_clt|art_897_clt|prgf_2_art_921_clt|trt19|art_14_cpc|art_487_cpc|sumula_114_tst|prgf_2_art_11_clt,https://jurisprudencia.jt.jus.br/jurisprudencia-nacional/pesquisa/numero/0184300-70.2002.5.19.0003?abaSelecionada=acordaos,Agravo de Petição,Execução trabalhista,Execução trabalhista,,,Prescrição (bienal/quinquenal/intercorrente),
Primeira Turma,1ª Turma,0121000-18.2008.5.19.0006,AP,Agravo de Petição,JOAO LEITE DE ARRUDA ALENCAR,TRT19,03/06/2026,08/06/2026,9160759,N,"Ementa. DIREITO PROCESSUAL DO TRABALHO. AGRAVO DE PETIÇÃO. PRESCRIÇÃO INTERCORRENTE. TÍTULO EXECUTIVO CONSTITUÍDO ANTES DA LEI Nº 13.467/2017. INAPLICABILIDADE. PROTEÇÃO À COISA JULGADA. AUSÊNCIA DE INÉRCIA DO EXEQUENTE. PROVIDÊNCIAS EXECUTIVAS REQUERIDAS E INFRUTÍFERAS POR CIRCUNSTÂNCIAS ALHEIAS AO CREDOR. MORA LEGISLATIVA. OMISSÃO NA CRIAÇÃO DO FUNGET. IRR Nº 39/TST. AFETAÇÃO PENDENTE. PROVIMENTO. I. CASO EM EXAME 1. Agravo de petição interposto pelo exequente WILSON CLAUDINO DA SILVA contra sentença que declarou prescrição intercorrente e extinguiu execução trabalhista de título constituído em 2008, antes da vigência da Lei nº 13.467/2017, que introduziu o art. 11-A na CLT. II. QUESTÃO EM DISCUSSÃO 2. A questão em discussão consiste em saber se é aplicável a prescrição intercorrente prevista no art. 11-A da CLT a título executivo judicial constituído antes da vigência da Lei nº 13.467/2017 e se houve inércia qualificada do exequente apta a ensejar a extinção da execução. III.",art_11_clt|caput_art_11_clt|prgf_1_art_897_clt|sumula_114_trt9|trt9|prgf_1_art_11_cf|art_893_clt|v_art_924_clt|prgf_1_art_11_clt|art_897_clt|art_5_cf|trt19|v_art_924_cpc|sumula_297_tst|sumula_114_tst|caput_art_11_cf,https://jurisprudencia.jt.jus.br/jurisprudencia-nacional/pesquisa/numero/0121000-18.2008.5.19.0006?abaSelecionada=acordaos,Agravo de Petição,Execução trabalhista,Execução trabalhista,,,Prescrição (bienal/quinquenal/intercorrente),
Primeira Turma,1ª Turma,0001514-46.2025.5.19.0005,ROT,Recurso Ordinário Trabalhista,JOAO LEITE DE ARRUDA ALENCAR,TRT19,03/06/2026,08/06/2026,9182365,N,"Ementa. DIREITO DO TRABALHO. RECURSO ORDINÁRIO. ESTABILIDADE PROVISÓRIA DA GESTANTE. CONTRATO DE EXPERIÊNCIA. COMPATIBILIDADE COM A GARANTIA CONSTITUCIONAL. CONFISSÃO FICTA. CARÁTER RELATIVO. PROVAS DOCUMENTAIS PRÉ-CONSTITUÍDAS. INDENIZAÇÃO SUBSTITUTIVA. REFLEXOS EM FÉRIAS ACRESCIDAS DE 1/3. DESPROVIMENTO. I. CASO EM EXAME 1. Recurso ordinário interposto pela reclamada PONTA VERDE COMERCIO DE CALCADOS LTDA em face de sentença que reconheceu a estabilidade provisória da gestante e condenou a empresa ao pagamento de indenização substitutiva - compreendendo os salários do período da dispensa até cinco meses após o parto, com reflexos em 13º salário, férias acrescidas de 1/3 e FGTS -, além de honorários advocatícios sucumbenciais. II. QUESTÕES EM DISCUSSÃO 2. As questões em discussão consistem em saber: (i) se a confissão ficta da reclamante, de caráter relativo, pode ser afastada por provas documentais médicas pré-constituídas nos autos para fins de reconhecimento da estabilidade gravídica; (ii) se a garantia de emprego prevista no art. 10, II, ""b"", do ADCT é aplicável ao contrato de experiência, modalidade de contrato por prazo determinado; (iii) se o pedido exclusivamente indenizatório formulado pela reclamante configura abuso de direito; e (iv) se o cálculo das férias acrescidas de 1/3 na indenização substitutiva deve abranger a integralidade da parcela ou apenas o adicional de um terço. III.",prgf_1_art_844_clt|iii_sumula_244_tst|sumula_297_tst|trt9|art_422_cpc|i_sumula_244_tst|i_art_818_cf|adct|art_187_cpc|art_187_ccb|i_art_373_clt|trt19|trt3|art_442_cpc|ii_sumula_74_tst|art_422_ccb|i_art_400_cpc|art_443_cpc|art_5_cf,https://jurisprudencia.jt.jus.br/jurisprudencia-nacional/pesquisa/numero/0001514-46.2025.5.19.0005?abaSelecionada=acordaos,Recurso Ordinário,Estabilidade / garantia de emprego,Estabilidade / garantia de emprego|FGTS,Gestante,Estabilidade / garantia de emprego::Gestante,Honorários sucumbenciais|Revelia / confissão ficta,
